go_stop_number	go_stop_name	go_stop_id	go_latitude	go_longitude	come_stop_number	come_stop_name	come_stop_id	come_latitude	come_longitude		
0東	0100000A00										
27	捷運東門站(金山)	1065000500	25.033211	121.5272129	27	捷運東門站(金山)	1065000500	25.033211	121.5272129		
3	和平新生路口	1064400040	25.02639	121.53478	3	和平新生路口	1064400040	25.02639	121.53478		
3	萬芳國小	1165300420	25.001037	121.5680544	3	萬芳國小	1165300420	25.001037	121.5680544		
4	龍安國小(公務人力發展學院)	1066000240	25.024664	121.5345198	4	龍安國小(公務人力發展學院)	1066000240	25.024664	121.5345198		
4	萬芳6號公園	1165300540	24.999962	121.56892	4	萬芳6號公園	1165300540	24.999962	121.56892		
5	臺大綜合體育館	1066000140	25.02155	121.5341136	5	臺大綜合體育館	1066000140	25.02155	121.5341136		
5	萬利街口	1165400260	24.999065	121.567262	5	萬利街口	1165400260	24.999065	121.567262		
6	臺大	1067300840	25.018239	121.533435	6	臺大	1067300840	25.018239	121.533435		
6	棕櫚泉社區	1169600360	24.997568	121.5625566	6	棕櫚泉社區	1169600360	24.997568	121.5625566		
7	捷運公館站	1009000140	25.014321	121.534722	7	捷運公館站	1009000140	25.014321	121.534722		
7	文山運動中心(萬芳)	1169600060	24.99706	121.5603813	7	文山運動中心(萬芳)	1169600060	24.99706	121.5603813		
8	師大分部	1167700041	25.00814	121.538064	8	師大分部	1167700041	25.00814	121.538064		
8	臺灣警察專科學校	1169800200	24.997677	121.559454	8	臺灣警察專科學校	1169800200	24.997677	121.559454		
9	武功國小(興隆)	1168100020	25.004127	121.5398685	9	武功國小(興隆)	1168100020	25.004127	121.5398685		
9	捷運萬芳醫院站	1169600260	24.999259	121.557829	9	捷運萬芳醫院站	1169600260	24.999259	121.557829		
											
1	100000100										
1	華江站	1037600320	25.032283	121.4889513	1	華江站	1037600320	25.032283	121.4889513		
1	松仁路	1104600200	25.02453	121.5695997	1	松仁路	1104600200	25.02453	121.5695997		
10	捷運六張犁站(基隆路)	1067500240	25.023428	121.551345	10	捷運六張犁站(基隆路)	1067500240	25.023428	121.551345		
10	建國中學	1006600420	25.029178	121.513095	10	建國中學	1006600420	25.029178	121.513095		
11	自來水西分處(寧波)	1007500020	25.029828	121.5157	11	自來水西分處(寧波)	1007500020	25.029828	121.5157		
11	和平高中	1105200140	25.02024	121.54763	11	和平高中	1105200140	25.02024	121.54763		
12	基隆長興街口	1067200460	25.018512	121.5456371	12	基隆長興街口	1067200460	25.018512	121.5456371		
12	聯合醫院婦幼院區一	1007500340	25.029987	121.5180375	12	聯合醫院婦幼院區一	1007500340	25.029987	121.5180375		
13	南昌家具街	1008400140	25.027364	121.520315	13	南昌家具街	1008400140	25.027364	121.520315		
13	臺大癌醫(基隆路)	1067200760	25.015713	121.5422472	13	臺大癌醫(基隆路)	1067200760	25.015713	121.5422472		
14	臺灣科技大學	1060700060	25.014151	121.540464	14	臺灣科技大學	1060700060	25.014151	121.540464		
14	羅斯福金門街口	1008400340	25.024288	121.5243501	14	羅斯福金門街口	1008400340	25.024288	121.5243501		
15	公館	1067300060	25.012108	121.5380694	15	公館	1067300060	25.012108	121.5380694		
